역명,동,weight
서울,회현동,0.2665
서울,남영동,0.73328
서울,청파동,0.00022
시청,소공동,1.0
종각,종로1·2·3·4가동,0.8675
종각,명동,0.1325
종로3가,종로1·2·3·4가동,0.98729
종로3가,을지로동,0.01271
종로5가,종로1·2·3·4가동,0.16823
종로5가,종로5·6가동,0.70954
종로5가,을지로동,0.12223
동대문,종로5·6가동,0.11194
동대문,창신1동,0.58507
동대문,창신2동,0.28189
동대문,신당동,0.02109
동묘앞,창신1동,0.46442
동묘앞,숭인1동,0.29576
동묘앞,숭인2동,0.23982
신설동,숭인2동,0.18263
신설동,용신동,0.81737
제기동,용신동,0.52566
제기동,제기동,0.47434
청량리,청량리동,0.2864
청량리,용신동,0.01884
청량리,제기동,0.13252
청량리,전농1동,0.56224
을지로입구,소공동,0.23596
을지로입구,명동,0.76404
을지로3가,종로1·2·3·4가동,0.02011
을지로3가,명동,0.16485
을지로3가,을지로동,0.81505
을지로4가,광희동,0.25111
을지로4가,을지로동,0.74889
동대문역사문화공원,광희동,0.83318
동대문역사문화공원,신당동,0.16682
신당,신당5동,0.45199
신당,황학동,0.42102
신당,신당동,0.12699
상왕십리,신당5동,0.04535
상왕십리,왕십리2동,0.39599
상왕십리,왕십리도선동,0.55866
왕십리,왕십리2동,0.00504
왕십리,행당1동,0.82167
왕십리,왕십리도선동,0.17328
한양대,사근동,1.0
뚝섬,성수1가1동,0.09105
뚝섬,성수1가2동,0.90895
성수,성수2가1동,0.00044
성수,성수2가3동,0.99956
건대입구,화양동,0.52623
건대입구,자양3동,0.07906
건대입구,자양4동,0.39472
구의,구의1동,0.36347
구의,자양1동,0.2043
구의,자양2동,0.43223
강변,구의3동,1.0
잠실나루,잠실4동,0.52017
잠실나루,잠실6동,0.47983
잠실,잠실6동,0.51211
잠실,잠실3동,0.48789
잠실새내,잠실4동,0.50569
잠실새내,잠실6동,0.49431
종합운동장,잠실7동,0.52941
종합운동장,잠실2동,0.47059
삼성,삼성1동,0.48682
삼성,대치2동,0.51318
선릉,삼성2동,0.17796
선릉,대치4동,0.1438
선릉,역삼1동,0.33512
선릉,역삼2동,0.34313
역삼,역삼1동,0.81686
역삼,역삼2동,0.18314
강남,서초2동,0.2561
강남,서초4동,0.26428
강남,역삼1동,0.47962
교대,서초1동,0.37508
교대,서초3동,0.31342
교대,서초4동,0.3115
서초,서초3동,1.0
방배,방배1동,0.55044
방배,방배3동,0.44956
사당,사당1동,0.25552
사당,남현동,0.26741
사당,방배2동,0.47707
낙성대,행운동,0.48844
낙성대,낙성대동,0.08063
낙성대,인헌동,0.43093
서울대입구,행운동,0.2279
서울대입구,낙성대동,0.21094
서울대입구,중앙동,0.30506
서울대입구,청룡동,0.2561
봉천,은천동,0.40973
봉천,청룡동,0.59027
신림,서원동,0.48509
신림,신원동,0.01634
신림,신림동,0.49857
신대방,신대방1동,0.54389
신대방,신사동,0.28612
신대방,조원동,0.16998
구로디지털단지,구로3동,0.28159
구로디지털단지,대림2동,0.33291
